Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_75_608,VSS,Metal1,299.2860,301.9390,0.001007
FILLER_75_601,VSS,Metal1,295.9260,301.9390,0.000941
FILLER_75_585,VSS,Metal1,288.2460,301.9390,0.000912
FILLER_75_578,VSS,Metal1,284.8860,301.9390,0.000752
FILLER_75_571,VSS,Metal1,281.5260,301.9390,0.000752
FILLER_75_560,VSS,Metal1,275.0400,302.4000,0.000727
FILLER_75_556,VSS,Metal1,273.5880,302.0230,0.000711
FILLER_75_546,VSS,Metal1,268.3200,302.4000,0.000588
FILLER_75_542,VSS,Metal1,266.8680,302.0230,0.000199
FILLER_75_535,VSS,Metal1,264.2460,301.9390,0.000197
FILLER_75_528,VSS,Metal1,260.8860,301.9390,0.000194
FILLER_75_521,VSS,Metal1,256.3200,302.4000,0.000130
FILLER_75_506,VSS,Metal1,248.8800,302.4000,0.000108
FILLER_75_499,VSS,Metal1,246.9660,301.9390,0.000110
FILLER_75_492,VSS,Metal1,243.6060,301.9390,0.000178
FILLER_75_485,VSS,Metal1,240.2460,301.9390,0.000178
FILLER_75_473,VSS,Metal1,233.0400,302.4000,0.000359
FILLER_75_469,VSS,Metal1,231.8280,302.0230,0.000362
FILLER_75_462,VSS,Metal1,228.0000,302.4000,0.000412
FILLER_75_455,VSS,Metal1,225.8460,301.9390,0.000412
FILLER_75_440,VSS,Metal1,217.4400,302.4000,0.000440
FILLER_75_424,VSS,Metal1,209.7600,302.4000,0.000466
FILLER_75_417,VSS,Metal1,207.6060,301.9390,0.000468
FILLER_75_406,VSS,Metal1,201.5880,302.0230,0.000453
FILLER_75_399,VSS,Metal1,198.9660,301.9390,0.000405
FILLER_75_392,VSS,Metal1,195.6060,301.9390,0.000405
FILLER_75_385,VSS,Metal1,192.2460,301.9390,0.000405
FILLER_75_379,VSS,Metal1,187.9200,302.4000,0.000336
FILLER_75_377,VSS,Metal1,187.2000,302.4000,0.000331
FILLER_75_370,VSS,Metal1,185.0460,301.9390,0.000327
FILLER_75_363,VSS,Metal1,181.6860,301.9390,0.000294
FILLER_75_356,VSS,Metal1,178.3260,301.9390,0.000293
FILLER_75_344,VSS,Metal1,172.5660,301.9390,0.000080
FILLER_75_337,VSS,Metal1,169.2060,301.9390,0.000104
FILLER_75_330,VSS,Metal1,165.8460,301.9390,0.000138
FILLER_75_323,VSS,Metal1,162.4860,301.9390,0.000138
FILLER_75_316,VSS,Metal1,159.1260,301.9390,0.000138
FILLER_75_297,VSS,Metal1,148.5600,302.4000,0.000489
FILLER_75_295,VSS,Metal1,147.8400,302.4000,0.000498
FILLER_75_288,VSS,Metal1,145.6860,301.9390,0.000510
FILLER_75_281,VSS,Metal1,142.3260,301.9390,0.000573
FILLER_75_274,VSS,Metal1,138.9660,301.9390,0.000635
FILLER_75_264,VSS,Metal1,134.1660,301.9390,0.000696
FILLER_75_257,VSS,Metal1,130.8060,301.9390,0.000696
FILLER_75_250,VSS,Metal1,127.4460,301.9390,0.000648
