Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_75_528,VDD,Metal1,260.8890,299.2180,1.199060
FILLER_75_521,VDD,Metal1,256.3200,298.6200,1.199537
FILLER_75_506,VDD,Metal1,248.8800,298.6200,1.199899
FILLER_75_499,VDD,Metal1,246.9690,299.2180,1.199906
FILLER_75_492,VDD,Metal1,243.6090,299.2180,1.199888
FILLER_75_485,VDD,Metal1,240.2490,299.2180,1.199873
FILLER_75_473,VDD,Metal1,233.0400,298.6200,1.199848
FILLER_75_469,VDD,Metal1,231.8510,299.2160,1.199848
FILLER_75_462,VDD,Metal1,228.0000,298.6200,1.199835
FILLER_75_455,VDD,Metal1,225.8490,299.2180,1.199832
FILLER_75_440,VDD,Metal1,217.4400,298.6200,1.199686
FILLER_75_424,VDD,Metal1,209.7600,298.6200,1.199613
FILLER_75_417,VDD,Metal1,207.6090,299.2180,1.199613
FILLER_75_406,VDD,Metal1,201.6110,299.2160,1.199722
FILLER_75_399,VDD,Metal1,198.9690,299.2180,1.199726
FILLER_75_392,VDD,Metal1,195.6090,299.2180,1.199730
FILLER_75_385,VDD,Metal1,192.2490,299.2180,1.199732
FILLER_75_379,VDD,Metal1,187.9200,298.6200,1.199744
FILLER_75_377,VDD,Metal1,187.2000,298.6200,1.199744
FILLER_75_370,VDD,Metal1,185.0490,299.2180,1.199744
FILLER_75_363,VDD,Metal1,181.6890,299.2180,1.199782
FILLER_75_356,VDD,Metal1,178.3290,299.2180,1.199821
FILLER_75_344,VDD,Metal1,172.5690,299.2180,1.199944
FILLER_75_337,VDD,Metal1,169.2090,299.2180,1.199951
FILLER_75_330,VDD,Metal1,165.8490,299.2180,1.199944
FILLER_75_323,VDD,Metal1,162.4890,299.2180,1.199922
FILLER_75_316,VDD,Metal1,159.1290,299.2180,1.199921
FILLER_75_297,VDD,Metal1,148.5600,298.6200,1.199871
FILLER_75_295,VDD,Metal1,147.8400,298.6200,1.199854
FILLER_75_288,VDD,Metal1,145.6890,299.2180,1.199853
FILLER_75_281,VDD,Metal1,142.3290,299.2180,1.199851
FILLER_75_274,VDD,Metal1,138.9690,299.2180,1.199851
FILLER_75_264,VDD,Metal1,134.1690,299.2180,1.199855
FILLER_75_257,VDD,Metal1,130.8090,299.2180,1.199856
FILLER_75_250,VDD,Metal1,127.4490,299.2180,1.199859
FILLER_75_243,VDD,Metal1,124.0890,299.2180,1.199859
FILLER_75_236,VDD,Metal1,120.7290,299.2180,1.199861
FILLER_75_229,VDD,Metal1,117.3690,299.2180,1.199877
FILLER_75_222,VDD,Metal1,114.0090,299.2180,1.199894
FILLER_75_191,VDD,Metal1,97.6800,298.6200,1.199962
FILLER_75_189,VDD,Metal1,96.9600,298.6200,1.199962
FILLER_75_182,VDD,Metal1,94.8090,299.2180,1.199962
FILLER_75_175,VDD,Metal1,91.4490,299.2180,1.199927
FILLER_75_164,VDD,Metal1,84.9600,298.6200,1.199890
FILLER_75_160,VDD,Metal1,83.5310,299.2160,1.199692
FILLER_75_148,VDD,Metal1,77.2800,298.6200,1.199667
FILLER_75_119,VDD,Metal1,63.3600,298.6200,1.199749
FILLER_75_103,VDD,Metal1,56.8890,299.2180,1.199763
FILLER_75_91,VDD,Metal1,49.9200,298.6200,1.199828
FILLER_75_80,VDD,Metal1,44.6400,298.6200,1.199833
FILLER_75_68,VDD,Metal1,38.8800,298.6200,1.199859
FILLER_75_64,VDD,Metal1,36.7200,298.6200,1.199876
FILLER_75_53,VDD,Metal1,31.6800,298.6200,1.199878
FILLER_75_49,VDD,Metal1,30.2510,299.2160,1.199879
FILLER_75_39,VDD,Metal1,24.7200,298.6200,1.199916
FILLER_75_37,VDD,Metal1,24.0000,298.6200,1.199916
FILLER_75_30,VDD,Metal1,21.8490,299.2180,1.199927
FILLER_75_23,VDD,Metal1,18.4890,299.2180,1.199943
FILLER_75_16,VDD,Metal1,15.1290,299.2180,1.199932
FILLER_75_11,VDD,Metal1,11.5200,298.6200,1.199929
FILLER_75_7,VDD,Metal1,10.0910,299.2160,1.199929
FILLER_75_0,VDD,Metal1,7.4490,299.2180,1.199929
FILLER_74_651,VDD,Metal1,318.4800,298.6200,1.193188
FILLER_74_647,VDD,Metal1,317.2910,298.0230,1.193188
FILLER_74_640,VDD,Metal1,314.6490,298.0210,1.193188
FILLER_74_615,VDD,Metal1,301.4400,298.6200,1.193195
FILLER_74_611,VDD,Metal1,300.0110,298.0230,1.193580
FILLER_74_604,VDD,Metal1,296.1600,298.6200,1.193594
FILLER_74_600,VDD,Metal1,294.7310,298.0230,1.193596
FILLER_74_593,VDD,Metal1,292.0890,298.0210,1.193655
FILLER_74_586,VDD,Metal1,288.7290,298.0210,1.198659
